map_name,nav_mode,linear_speed,mean_window,run,obstacle1_time,obstacle2_time,obstacle3_time,obstacle4_time,total_time
default,improved,0.5,4,4,0.09,39.79,9.09,195.99,195.99
default,improved,0.5,4,5,0.09,39.79,9.09,196.19,196.19
default,improved,0.5,4,6,0.09,39.79,9.09,195.99,195.99
default,improved,0.5,4,7,0.09,39.79,9.09,196.29,196.29
default,improved,0.5,4,8,0.09,39.79,9.09,195.89,195.89
default,improved,0.5,4,9,0.09,39.79,9.09,196.09,196.09
default,improved,0.5,4,10,0.09,39.79,9.09,195.89,195.89
default,improved,0.5,2,1,0.09,80.49,8.19,50.99,80.49
default,improved,0.5,2,2,0.19,80.79,8.19,51.19,80.79
default,improved,0.5,2,3,0.19,80.79,8.19,51.19,80.79
default,improved,0.5,2,4,0.19,80.59,8.19,51.19,80.59
default,improved,0.5,2,5,0.19,80.79,8.19,51.19,80.79
default,improved,0.5,2,6,0.19,80.79,8.19,51.19,80.79
default,improved,0.5,2,7,0.19,80.79,8.19,51.19,80.79
default,improved,0.5,2,8,0.19,80.59,8.19,51.19,80.59
default,improved,0.5,2,9,0.19,91.59,8.19,50.89,91.59
default,improved,0.5,2,10,0.09,82.09,8.19,50.89,82.09
default,improved,2.0,4,1,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,2,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,3,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,4,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,5,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,6,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,7,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,8,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,9,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,4,10,0.19,2.59,12.39,6.09,12.39
default,improved,2.0,2,1,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,2,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,3,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,4,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,5,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,6,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,7,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,8,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,9,0.19,2.39,12.39,5.89,12.39
default,improved,2.0,2,10,0.19,2.39,12.39,5.89,12.39
