map_name,nav_mode,linear_speed,mean_window,run,obstacle1_time,obstacle2_time,obstacle3_time,obstacle4_time,total_time
line_map,improved,1.0,2,9,0.09,18.49,4.19,22.29,22.29
line_map,improved,1.0,2,10,0.09,100.39,4.19,27.89,100.39
line_map,improved,0.5,4,1,0.69,40.59,9.09,163.69,163.69
line_map,improved,0.5,4,2,0.69,40.59,9.09,161.19,161.19
line_map,improved,0.5,4,3,0.69,40.29,9.09,145.49,145.49
line_map,improved,0.5,4,4,0.69,40.59,9.09,163.49,163.49
line_map,improved,0.5,4,5,0.69,40.69,9.09,217.79,217.79
line_map,improved,0.5,4,6,0.69,40.59,9.09,208.59,208.59
line_map,improved,0.5,4,7,0.69,40.59,9.09,318.29,318.29
line_map,improved,0.5,4,8,0.69,40.59,9.09,245.89,245.89
line_map,improved,0.5,4,9,0.69,40.69,9.09,160.19,160.19
line_map,improved,0.5,4,10,0.69,40.59,9.09,190.29,190.29
line_map,improved,0.5,2,1,0.09,79.19,8.19,170.19,170.19
line_map,improved,0.5,2,2,0.09,79.19,8.19,170.19,170.19
line_map,improved,0.5,2,3,0.09,78.99,8.19,141.79,141.79
line_map,improved,0.5,2,4,0.09,93.79,8.19,51.39,93.79
line_map,improved,0.5,2,5,0.09,79.29,8.19,170.89,170.89
line_map,improved,0.5,2,6,0.09,79.29,8.19,169.79,169.79
line_map,improved,0.5,2,7,0.09,78.99,8.19,141.89,141.89
line_map,improved,0.5,2,8,0.09,93.29,8.19,51.39,93.29
line_map,improved,0.5,2,9,0.09,79.09,8.19,170.79,170.79
line_map,improved,0.5,2,10,0.09,79.29,8.19,195.89,195.89
line_map,improved,2.0,4,1,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,2,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,3,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,4,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,5,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,6,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,7,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,8,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,9,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,4,10,0.29,2.69,12.49,6.09,12.49
line_map,improved,2.0,2,1,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,2,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,3,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,4,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,5,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,6,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,7,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,8,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,9,0.19,2.39,12.39,5.89,12.39
line_map,improved,2.0,2,10,0.19,2.39,12.39,5.89,12.39
