map_name,nav_mode,linear_speed,mean_window,run,obstacle1_time,obstacle2_time,obstacle3_time,obstacle4_time,total_time
x_map,improved,1.0,2,9,0.09,29.69,4.19,79.89,79.89
x_map,improved,1.0,2,10,0.09,35.59,4.19,72.49,72.49
x_map,improved,0.5,4,1,1.09,97.99,122.59,28.39,122.59
x_map,improved,0.5,4,2,1.09,96.79,159.09,28.39,159.09
x_map,improved,0.5,4,3,1.09,113.19,264.79,28.39,264.79
x_map,improved,0.5,4,4,1.09,96.59,173.49,28.39,173.49
x_map,improved,0.5,4,5,1.09,96.59,179.39,28.39,179.39
x_map,improved,0.5,4,6,1.09,96.49,172.39,28.39,172.39
x_map,improved,0.5,4,7,1.09,96.59,268.09,28.39,268.09
x_map,improved,0.5,4,8,1.09,96.59,151.19,28.39,151.19
x_map,improved,0.5,4,9,1.09,96.69,172.59,28.39,172.59
x_map,improved,0.5,4,10,1.09,98.79,237.29,28.39,237.29
x_map,improved,0.5,2,1,0.19,63.09,8.19,134.79,134.79
x_map,improved,0.5,2,2,0.19,61.69,8.19,106.19,106.19
x_map,improved,0.5,2,3,0.19,61.99,8.19,139.89,139.89
x_map,improved,0.5,2,4,0.09,62.09,8.19,92.29,92.29
x_map,improved,0.5,2,5,0.09,61.39,8.19,75.19,75.19
x_map,improved,0.5,2,6,0.09,62.79,8.19,124.69,124.69
x_map,improved,0.5,2,7,0.19,61.99,8.19,139.89,139.89
x_map,improved,0.5,2,8,0.09,62.19,8.19,149.09,149.09
x_map,improved,0.5,2,9,0.09,61.99,8.19,129.99,129.99
x_map,improved,0.5,2,10,0.19,62.39,8.19,123.69,123.69
x_map,improved,2.0,4,1,0.39,22.59,41.39,36.49,41.39
x_map,improved,2.0,4,2,0.39,22.59,43.39,47.99,47.99
x_map,improved,2.0,4,3,0.39,22.59,43.39,47.99,47.99
x_map,improved,2.0,4,4,0.39,22.59,43.39,47.99,47.99
x_map,improved,2.0,4,5,0.39,22.59,43.39,47.99,47.99
